PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare
1,0,3,male,22,1,0,7.25
2,1,1,female,38,1,0,71.28
3,1,3,female,26,0,0,7.92
4,1,1,female,35,1,0,53.1
5,0,3,male,35,0,0,8.05
6,0,3,male,28,0,0,8.46
7,1,2,female,14,1,0,30.07
8,0,3,male,2,3,1,21.08
9,1,2,female,27,0,0,11.13
10,1,1,female,19,1,0,30.0
11,0,3,male,30,0,0,7.9
12,1,2,female,24,0,0,13.0
13,0,3,male,20,1,1,9.0
14,1,1,female,40,0,0,80.0
15,0,3,male,31,0,0,8.05
16,1,2,female,18,1,1,26.0
17,0,3,male,25,0,0,7.75
18,1,1,female,29,1,0,51.86
19,0,3,male,33,0,0,8.05
20,1,2,female,16,0,0,26.0

